Income,Housing cost,Transportation cost,Healthcare Expense,Food and Dining,Personal Expenses,Financial aid,Credit History,Savings,Academic Performance
f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,outcome,class
26,1587,1331,814,2788,11344,1,2687,1127,1,100712,0
6666,2494,745,4277,1364,15436,1,1267,504,1,140846,0
3540,2020,1583,2070,2023,11454,1,590,1276,1,105976,0
10936,1221,1502,2977,598,10201,1,2838,449,1,117790,0
13675,2858,1515,4630,1373,10465,1,544,2099,1,133764,0
355,2197,3473,1596,2911,17701,1,1699,841,1,147578,0
10277,228,1092,2096,1765,4251,1,1567,1523,1,75168,0
1924,577,888,937,1451,4300,1,859,2773,1,55542,0
7986,1157,2271,4466,1006,17769,1,3089,2475,1,176126,1
2221,1191,1335,2593,2118,6367,1,2790,1854,1,83560,0
901,1074,3649,4892,2950,19863,1,3188,2647,1,186542,1
11950,1891,564,2031,2832,9180,1,2470,39,1,108852,0
2701,984,3430,1651,1582,7171,1,2914,103,1,85962,0
11628,569,4250,3546,1796,12891,1,2335,659,1,148502,0
1509,377,3555,2130,2996,8070,1,1936,1805,1,95898,0
546,1108,3880,3022,2164,3847,1,309,109,1,60008,0
8424,585,4242,2743,2351,10869,1,1406,2882,1,133036,0
13499,2520,1583,1545,894,12359,1,1420,271,1,127266,0
14128,1321,1977,2142,695,3111,1,1817,2619,1,85184,0
7347,2315,173,1943,1750,2856,1,233,2934,1,61102,0
14727,2489,4502,4380,771,8123,1,2481,1207,1,135002,0
10139,1132,4121,2486,2766,18712,1,3102,368,1,180664,1
7587,989,730,3788,1412,7384,1,3711,2217,1,106074,0
5037,759,2387,3651,2359,2902,1,1640,796,1,67628,0
8561,358,2322,4818,872,19310,1,3481,91,1,178300,1
9651,2859,4393,4580,1927,15356,1,3493,1444,1,176660,1
2142,1781,3580,3224,1442,7695,1,1617,1766,1,97658,0
14309,892,229,3003,357,8769,1,2863,2624,1,118616,0
11710,1087,4652,4327,1567,15028,1,2095,2343,1,172574,1
5245,1131,4055,4727,1584,4650,1,696,576,1,84046,0
10697,1797,3860,1934,2793,13464,1,175,2716,1,146108,0
12281,2410,1929,736,2630,8774,1,3790,2829,1,124432,0
13766,814,4767,3177,2314,10015,1,2256,2393,1,144260,0
6500,2615,4827,4316,2918,5694,1,152,1140,1,99980,0
260,807,48,526,649,19142,1,1435,919,1,130006,0
2836,945,4002,4110,2285,4678,1,2469,1967,1,90402,0
1628,1773,212,2672,646,12389,1,3863,2275,1,118526,0
10140,1565,336,1749,1849,17809,1,3785,2475,1,167352,0
5763,1994,3485,2948,2840,4032,1,1077,524,1,77532,0
8592,2285,2504,978,873,11544,1,3841,2891,1,133630,0
119,1321,2374,1733,725,13427,1,3718,2281,1,125326,0
2690,1130,1485,4391,1845,19230,1,3519,1202,1,169108,0
6150,2215,847,2120,1511,3510,1,1095,1969,1,64946,0
2635,628,2214,4545,790,10608,1,437,2317,1,109816,0
7852,2815,2837,3250,537,10995,1,3202,2185,1,134284,0
10119,544,2743,3357,2034,18580,1,2650,450,1,173684,1
9894,518,20,3938,1680,6738,1,2715,294,1,92490,0
11918,352,4109,1869,1937,11972,1,2915,609,1,138264,0
14757,2558,4218,2556,2664,6479,1,3700,452,1,122546,0
9538,551,4827,570,1035,17803,1,3947,2512,1,176500,1
8385,1254,2038,3157,319,8929,1,1267,1415,1,105008,0
1006,2670,1108,1287,2998,8248,1,1887,2876,1,91478,0
1619,1930,1829,3340,1268,2506,1,2405,2523,1,65068,0
13353,611,2616,844,927,13093,1,2858,2479,1,143538,0
14708,812,2088,4770,833,2774,1,1459,2468,1,92500,0
5859,535,2481,2621,2808,10575,1,2721,2812,1,124404,0
4209,2225,2409,536,568,14209,1,515,1295,1,118288,0
6435,697,3339,4051,718,4682,1,3204,1521,1,92262,0
1338,2754,3643,3721,2865,16091,1,2927,1415,1,157294,0
6677,1009,1735,3656,977,7700,1,2628,1518,1,101684,0
1804,2911,3853,2445,1717,10378,1,3592,2170,1,123382,0
440,1836,3420,2118,355,10977,1,3592,1910,1,115294,0
3265,2933,2450,3164,2961,3113,1,2673,2095,1,78534,0
351,729,4617,3321,842,15227,1,3076,31,1,139396,0
8245,2279,4003,3137,349,16587,1,1492,489,1,157762,0
5955,2897,1151,3123,1597,10038,1,1098,406,1,104248,0
3517,2625,1574,4833,2957,16915,1,2392,969,1,158770,0
8828,1662,307,4506,2447,6048,1,2633,2642,1,102524,0
1324,2347,204,564,1215,12953,1,729,2306,1,102712,0
